INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,688 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,689 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,690 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,691 -  Tools.spgr2d_func called
